CODIGO CLIENTE,CODIGO PRESTAMO,prob_fuga,decil_riesgo,segmento_riesgo,valor_cliente,beneficio_esperado,prioridad_campana,recomendar_campana
131,252780,0.3992828611200487,5,Medio,130.79999999999998,-14.554760353099526,5766,No
132,265410,0.08862601989521858,6,Bajo,130.79999999999998,-22.68154331954108,6717,No
133,282560,0.7387958410713422,2,Alto,130.79999999999998,-5.673100797573689,5196,No
134,289060,0.06164428894391478,6,Bajo,130.79999999999998,-23.38738540122719,6963,No
135,302570,0.9005328596802842,1,Alto,130.79999999999998,-1.4420603907637677,5009,No
136,344790,0.4490472245236123,4,Medio,130.79999999999998,-13.252924606462303,5645,No
137,515700,0.577212020033389,3,Alto,166.5,-5.7788397328881445,5199,No
138,204620,0.5841401012556733,3,Alto,166.5,-5.54813462818608,5187,No
139,174460,0.08862601989521858,6,Bajo,88.5,-23.43131944785463,6976,No
140,166760,0.9354838709677419,1,Alto,166.5,6.151612903225807,4675,Sí
141,314010,0.2069237416186202,6,Medio,130.79999999999998,-19.586874919256896,6153,No
142,74430,0.776685393258427,2,Alto,166.5,0.8636235955056222,4945,Sí
143,130800,0.6337298146673324,3,Alto,166.5,-3.8967971715778305,5156,No
144,133860,0.3659767298402987,5,Medio,166.5,-12.812974896318051,5623,No
145,206110,0.7283950617283951,3,Alto,166.5,-0.7444444444444436,4993,No
146,206560,0.14354065541897237,6,Bajo,166.5,-20.220096174548218,6253,No
147,243700,0.3190760218702019,5,Medio,166.5,-14.374768471722277,5758,No
148,580290,0.25,6,Medio,166.5,-16.674999999999997,5882,No
149,624840,0.577212020033389,3,Alto,166.5,-5.7788397328881445,5200,No
150,786450,0.577212020033389,3,Alto,166.5,-5.7788397328881445,5201,No
151,68830,0.08862601989521858,6,Bajo,130.79999999999998,-22.68154331954108,6718,No
152,98660,0.14354065541897237,6,Bajo,130.79999999999998,-21.244976454239684,6449,No
153,100920,0.2586476375832887,5,Medio,130.79999999999998,-18.23377780082117,6055,No
154,122460,0.3372395833333333,5,Medio,130.79999999999998,-16.1778125,5872,No
155,138690,0.06164428894391478,6,Bajo,130.79999999999998,-23.38738540122719,6964,No
156,195720,0.3372395833333333,5,Medio,130.79999999999998,-16.1778125,5873,No
157,202530,0.06164428894391478,6,Bajo,130.79999999999998,-23.38738540122719,6965,No
158,205910,0.3372395833333333,5,Medio,130.79999999999998,-16.1778125,5874,No
159,208090,0.4490472245236123,4,Medio,130.79999999999998,-13.252924606462303,5646,No
160,218680,0.04889864398629347,7,Bajo,130.79999999999998,-23.720811473318562,7090,No
161,222960,0.817966903073286,2,Alto,130.79999999999998,-3.6019858156028377,5146,No
162,224760,0.18428888849113062,6,Bajo,130.79999999999998,-20.179002677072024,6246,No
163,234170,0.09523446674658179,6,Bajo,130.79999999999998,-22.50866634990942,6674,No
164,242970,0.09523446674658179,6,Bajo,130.79999999999998,-22.50866634990942,6675,No
165,247460,0.2069237416186202,6,Medio,130.79999999999998,-19.586874919256896,6154,No
166,248650,0.13476962978634788,6,Bajo,130.79999999999998,-21.47442648478914,6470,No
167,256570,0.2069237416186202,6,Medio,130.79999999999998,-19.586874919256896,6155,No
168,284430,0.04889864398629347,7,Bajo,130.79999999999998,-23.720811473318562,7091,No
169,304460,0.14354065541897237,6,Bajo,130.79999999999998,-21.244976454239684,6450,No
170,331130,0.0670131338066097,6,Bajo,130.79999999999998,-23.24693641961909,6887,No
171,423630,0.21199143468950749,6,Medio,130.79999999999998,-19.454304068522482,6148,No
172,533280,0.3372395833333333,5,Medio,130.79999999999998,-16.1778125,5875,No
173,784590,0.3372395833333333,5,Medio,130.79999999999998,-16.1778125,5876,No
174,168780,0.9367088607594937,1,Alto,166.5,6.19240506329114,4666,Sí
175,275400,0.4155701754385965,5,Medio,166.5,-11.161513157894735,5528,No
176,328620,0.2069237416186202,6,Medio,130.79999999999998,-19.586874919256896,6156,No
177,274200,0.39416058394160586,5,Medio,166.5,-11.874452554744524,5587,No
178,285170,0.6728723404255319,3,Alto,166.5,-2.593351063829786,5079,No
179,158090,0.577212020033389,3,Alto,166.5,-5.7788397328881445,5202,No
180,299450,0.9367088607594937,1,Alto,130.79999999999998,-0.49569620253164715,4984,No
181,177250,0.3372395833333333,5,Medio,88.5,-19.030859375,6116,No
182,249060,0.577212020033389,3,Alto,130.79999999999998,-9.900133555926544,5458,No
183,543500,0.4155701754385965,5,Medio,166.5,-11.161513157894735,5529,No
184,305530,0.056463505915230174,7,Bajo,130.79999999999998,-23.52291468525758,7014,No
185,155660,0.7103092783505155,3,Alto,166.5,-1.3467010309278358,5007,No
186,44470,0.48966632776888547,4,Medio,166.5,-8.694111285296113,5379,No
187,231420,0.5404537303534122,4,Alto,166.5,-7.002890779231375,5300,No
188,509050,0.3372395833333333,5,Medio,166.5,-13.769921875000001,5672,No
189,509060,0.3372395833333333,5,Medio,166.5,-13.769921875000001,5673,No
190,277880,0.8616298022399826,1,Alto,166.5,3.6922724145914216,4810,Sí
191,38860,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4967,No
192,66460,0.9643635135789099,1,Alto,166.5,7.113305002177704,4638,Sí
193,98350,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4968,No
194,99590,0.9806451612903225,1,Alto,166.5,7.655483870967743,4610,Sí
195,106480,0.9806451612903225,1,Alto,166.5,7.655483870967743,4611,Sí
196,111420,0.9806451612903225,1,Alto,166.5,7.655483870967743,4612,Sí
197,320000,0.9367088607594937,1,Alto,166.5,6.19240506329114,4667,Sí
198,564250,0.3551617873651772,5,Medio,166.5,-13.1731124807396,5641,No
199,599220,0.577212020033389,3,Alto,166.5,-5.7788397328881445,5203,No
200,599230,0.577212020033389,3,Alto,166.5,-5.7788397328881445,5204,No
201,593270,0.4155701754385965,5,Medio,166.5,-11.161513157894735,5530,No
202,355460,0.5417406749555951,4,Alto,166.5,-6.960035523978682,5298,No
203,4680,0.5073907658875524,4,Alto,166.5,-8.103887495944505,5357,No
204,11260,0.6337298146673324,3,Alto,166.5,-3.8967971715778305,5157,No
205,21820,0.20909090909090908,6,Medio,166.5,-18.03727272727273,6022,No
206,22260,0.13483146067415727,6,Bajo,166.5,-20.51011235955056,6285,No
207,41450,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4969,No
208,59480,0.5841401012556733,3,Alto,166.5,-5.54813462818608,5188,No
209,62500,0.48966632776888547,4,Medio,166.5,-8.694111285296113,5380,No
210,95730,0.672451290504297,3,Alto,166.5,-2.60737202620691,5082,No
211,96050,0.805102752829306,2,Alto,166.5,1.809921669215889,4919,Sí
212,101310,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4970,No
213,102540,0.672451290504297,3,Alto,166.5,-2.60737202620691,5083,No
214,123400,0.9929873772791024,1,Alto,166.5,8.066479663394112,4593,Sí
215,125260,0.056463505915230174,7,Bajo,166.5,-23.119765253022834,6831,No
216,125410,0.672451290504297,3,Alto,166.5,-2.60737202620691,5084,No
217,137640,0.98046875,1,Alto,166.5,7.649609375000004,4614,Sí
218,142390,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4971,No
219,151250,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4972,No
220,175720,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4973,No
221,184900,0.98046875,1,Alto,166.5,7.649609375000004,4615,Sí
222,256590,0.805102752829306,2,Alto,166.5,1.809921669215889,4920,Sí
223,268470,0.805102752829306,2,Alto,166.5,1.809921669215889,4921,Sí
224,277370,0.805102752829306,2,Alto,166.5,1.809921669215889,4922,Sí
225,305510,0.805102752829306,2,Alto,166.5,1.809921669215889,4923,Sí
226,309830,0.805102752829306,2,Alto,166.5,1.809921669215889,4924,Sí
227,316850,0.05795454545454545,7,Bajo,166.5,-23.070113636363637,6821,No
228,327210,0.9806451612903225,1,Alto,166.5,7.655483870967743,4613,Sí
229,339500,0.39416058394160586,5,Medio,166.5,-11.874452554744524,5588,No
230,353310,0.17019027484143764,6,Bajo,166.5,-19.332663847780125,6137,No
231,358260,0.17019027484143764,6,Bajo,166.5,-19.332663847780125,6138,No
232,428130,0.041237113402061855,7,Bajo,166.5,-23.62680412371134,7066,No
233,428620,0.041237113402061855,7,Bajo,166.5,-23.62680412371134,7067,No
234,428830,0.20909090909090908,6,Medio,166.5,-18.03727272727273,6023,No
235,637090,0.05795454545454545,7,Bajo,166.5,-23.070113636363637,6822,No
236,638090,0.13483146067415727,6,Bajo,166.5,-20.51011235955056,6286,No
237,677970,0.21199143468950749,6,Medio,166.5,-17.9406852248394,6002,No
238,742410,0.00395882818685669,8,Bajo,166.5,-24.868171021377673,9127,No
239,131000,0.9063923662873214,1,Alto,166.5,5.182865797367807,4739,Sí
240,636130,0.17019027484143764,6,Bajo,166.5,-19.332663847780125,6139,No
241,638040,0.17485265225933203,6,Bajo,166.5,-19.177406679764243,6118,No
242,854860,0.17019027484143764,6,Bajo,166.5,-19.332663847780125,6140,No
243,858100,0.17019027484143764,6,Bajo,166.5,-19.332663847780125,6141,No
244,210030,0.672451290504297,3,Alto,166.5,-2.60737202620691,5085,No
245,50030,0.5841401012556733,3,Alto,90.0,-14.48547817739788,5761,No
246,335960,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4974,No
247,318490,0.672451290504297,3,Alto,166.5,-2.60737202620691,5086,No
248,187110,0.577212020033389,3,Alto,130.79999999999998,-9.900133555926544,5459,No
249,111170,0.5417406749555951,4,Alto,166.5,-6.960035523978682,5299,No
250,170410,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4975,No
251,276250,0.09523446674658179,6,Bajo,130.79999999999998,-22.50866634990942,6676,No
252,205270,0.672451290504297,3,Alto,166.5,-2.60737202620691,5087,No
253,181770,0.672451290504297,3,Alto,166.5,-2.60737202620691,5088,No
254,197760,0.672451290504297,3,Alto,166.5,-2.60737202620691,5089,No
255,122270,0.03771737858070131,7,Bajo,130.79999999999998,-24.013313376328853,7413,No
256,299150,0.13483146067415727,6,Bajo,166.5,-20.51011235955056,6287,No
257,12410,0.672451290504297,3,Alto,166.5,-2.60737202620691,5090,No
258,18990,0.672451290504297,3,Alto,166.5,-2.60737202620691,5091,No
259,26650,0.672451290504297,3,Alto,166.5,-2.60737202620691,5092,No
260,29290,0.672451290504297,3,Alto,166.5,-2.60737202620691,5093,No
261,75810,0.6337298146673324,3,Alto,166.5,-3.8967971715778305,5158,No
262,124880,0.5841401012556733,3,Alto,166.5,-5.54813462818608,5189,No
263,125630,0.5841401012556733,3,Alto,166.5,-5.54813462818608,5190,No
264,128100,0.805102752829306,2,Alto,166.5,1.809921669215889,4925,Sí
265,130410,0.5841401012556733,3,Alto,166.5,-5.54813462818608,5191,No
266,142510,0.5841401012556733,3,Alto,166.5,-5.54813462818608,5192,No
267,145720,0.8616298022399826,1,Alto,166.5,3.6922724145914216,4811,Sí
268,172040,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4976,No
269,178770,0.9148387096774193,1,Alto,166.5,5.4641290322580645,4696,Sí
270,181060,0.9148387096774193,1,Alto,166.5,5.4641290322580645,4697,Sí
271,194720,0.3551617873651772,5,Medio,166.5,-13.1731124807396,5642,No
272,197440,0.3551617873651772,5,Medio,166.5,-13.1731124807396,5643,No
273,219700,0.13476962978634788,6,Bajo,166.5,-20.512171328114615,6289,No
274,279620,0.40280847746150794,5,Medio,166.5,-11.586477700531786,5573,No
275,279650,0.40280847746150794,5,Medio,166.5,-11.586477700531786,5574,No
276,280840,0.40280847746150794,5,Medio,166.5,-11.586477700531786,5575,No
277,358090,0.11088295687885011,6,Bajo,166.5,-21.307597535934292,6460,No
278,681430,0.4155701754385965,5,Medio,166.5,-11.161513157894735,5531,No
279,682760,0.4155701754385965,5,Medio,166.5,-11.161513157894735,5532,No
280,683190,0.4155701754385965,5,Medio,166.5,-11.161513157894735,5533,No
281,683330,0.4155701754385965,5,Medio,166.5,-11.161513157894735,5534,No
282,684300,0.00395882818685669,8,Bajo,166.5,-24.868171021377673,9128,No
283,55660,0.672451290504297,3,Alto,166.5,-2.60737202620691,5094,No
284,56470,0.4830208249299662,4,Medio,166.5,-8.915406529832126,5383,No
285,61000,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4977,No
286,67420,0.672451290504297,3,Alto,166.5,-2.60737202620691,5095,No
287,95090,0.98046875,1,Alto,166.5,7.649609375000004,4616,Sí
288,97310,0.4830208249299662,4,Medio,166.5,-8.915406529832126,5384,No
289,137900,0.40280847746150794,5,Medio,166.5,-11.586477700531786,5576,No
290,167430,0.9929873772791024,1,Alto,166.5,8.066479663394112,4594,Sí
291,241490,0.9367088607594937,1,Alto,166.5,6.19240506329114,4668,Sí
292,250280,0.9367088607594937,1,Alto,166.5,6.19240506329114,4669,Sí
293,260290,0.9367088607594937,1,Alto,166.5,6.19240506329114,4670,Sí
294,358180,0.041237113402061855,7,Bajo,166.5,-23.62680412371134,7068,No
295,360580,0.041237113402061855,7,Bajo,166.5,-23.62680412371134,7069,No
296,431830,0.3551617873651772,5,Medio,166.5,-13.1731124807396,5644,No
297,446990,0.6728723404255319,3,Alto,166.5,-2.593351063829786,5080,No
298,740620,0.08709016393442623,6,Bajo,166.5,-22.099897540983605,6558,No
299,740840,0.08709016393442623,6,Bajo,166.5,-22.099897540983605,6559,No
300,326160,0.21199143468950749,6,Medio,166.5,-17.9406852248394,6003,No
301,21410,0.9643635135789099,1,Alto,166.5,7.113305002177704,4639,Sí
302,179690,0.48966632776888547,4,Medio,88.5,-16.332905998490727,5878,No
303,215920,0.4490472245236123,4,Medio,166.5,-10.04672742336371,5462,No
304,681700,0.08191489361702127,6,Bajo,166.5,-22.27223404255319,6598,No
305,183790,0.8339060710194731,2,Alto,166.5,2.769072164948458,4837,Sí
306,197920,0.7103092783505155,3,Alto,166.5,-1.3467010309278358,5008,No
307,199850,0.7792207792207793,2,Alto,166.5,0.9480519480519511,4943,Sí
308,189060,0.2069237416186202,6,Medio,166.5,-18.109439404099945,6037,No
309,245730,0.08709016393442623,6,Bajo,166.5,-22.099897540983605,6560,No
310,642770,0.11088295687885011,6,Bajo,166.5,-21.307597535934292,6461,No
311,812100,0.00395882818685669,8,Bajo,166.5,-24.868171021377673,9129,No
312,813110,0.00395882818685669,8,Bajo,166.5,-24.868171021377673,9130,No
313,132990,0.09523446674658179,6,Bajo,88.5,-23.3143499385855,6903,No
314,294240,0.04889864398629347,7,Bajo,88.5,-24.134494001442604,7487,No
315,680290,0.4155701754385965,5,Medio,130.79999999999998,-14.128684210526316,5684,No
316,847510,0.08191489361702127,6,Bajo,130.79999999999998,-22.857106382978724,6763,No
317,212890,0.7387958410713422,2,Alto,90.0,-11.701674860715839,5583,No
318,304800,0.3992828611200487,5,Medio,88.5,-17.932693358175136,6001,No
319,487700,0.3372395833333333,5,Medio,166.5,-13.769921875000001,5674,No
320,18160,0.17019027484143764,6,Bajo,166.5,-19.332663847780125,6142,No
321,58980,0.2069237416186202,6,Medio,166.5,-18.109439404099945,6038,No
322,70760,0.13476962978634788,6,Bajo,166.5,-20.512171328114615,6290,No
323,95310,0.6700336700336701,3,Alto,166.5,-2.6878787878787875,5097,No
324,388420,0.17019027484143764,6,Bajo,166.5,-19.332663847780125,6143,No
325,401120,0.17019027484143764,6,Bajo,166.5,-19.332663847780125,6144,No
326,596580,0.01694915254237288,7,Bajo,166.5,-24.435593220338983,8098,No
327,244780,0.059888151779936734,7,Bajo,88.5,-23.93997971349512,7241,No
328,263440,0.059888151779936734,7,Bajo,88.5,-23.93997971349512,7242,No
329,265310,0.46200475757751447,4,Medio,88.5,-16.822515790877993,5890,No
330,93270,0.03771737858070131,7,Bajo,130.79999999999998,-24.013313376328853,7414,No
331,239730,0.03892086675698259,7,Bajo,130.79999999999998,-23.981830125637334,7380,No
332,262640,0.04889864398629347,7,Bajo,130.79999999999998,-23.720811473318562,7092,No
333,733840,0.08191489361702127,6,Bajo,130.79999999999998,-22.857106382978724,6764,No
334,789370,0.23846153846153842,6,Medio,130.79999999999998,-18.761846153846157,6108,No
335,277840,0.11963479492106192,6,Bajo,130.79999999999998,-21.87035376486502,6521,No
336,338260,0.49535603715170295,4,Medio,130.79999999999998,-12.041486068111453,5591,No
337,626260,0.4490472245236123,4,Medio,130.79999999999998,-13.252924606462303,5647,No
338,7630,0.2069237416186202,6,Medio,166.5,-18.109439404099945,6039,No
339,47410,0.2069237416186202,6,Medio,166.5,-18.109439404099945,6040,No
340,210730,0.5404537303534122,4,Alto,166.5,-7.002890779231375,5301,No
341,226600,0.5404537303534122,4,Alto,166.5,-7.002890779231375,5302,No
342,441890,0.2731707317073171,5,Medio,166.5,-15.90341463414634,5850,No
343,746980,0.002488654662567706,8,Bajo,166.5,-24.917127799736495,9307,No
344,583700,0.060294117647058824,6,Bajo,130.79999999999998,-23.42270588235294,6973,No
345,232050,0.2527472527472528,6,Medio,166.5,-16.583516483516483,5881,No
346,341240,0.9056043180256583,1,Alto,166.5,5.156623790254425,4742,Sí
347,724400,0.00395882818685669,8,Bajo,166.5,-24.868171021377673,9131,No
348,31990,0.03771737858070131,7,Bajo,130.79999999999998,-24.013313376328853,7415,No
349,740400,0.030010172939979655,7,Bajo,166.5,-24.000661241098676,7406,No
350,182160,0.049057130069620085,7,Bajo,88.5,-24.131688797767723,7480,No
351,275060,0.7387958410713422,2,Alto,166.5,-0.3980984923243014,4978,No
352,289780,0.805102752829306,2,Alto,166.5,1.809921669215889,4926,Sí
353,92270,0.805102752829306,2,Alto,90.0,-10.508150449072492,5499,No
